timestamp,elapsed_ms,PT0_psi,PT1_psi,PT2_psi,PT3_psi,PT4_psi,PT5_psi,PT6_psi,PT7_psi,PT8_psi,PT9_psi,PT10_psi,PT11_psi,PT12_psi,PT13_psi,PT14_psi,PT15_psi,PT0_mA,PT1_mA,PT2_mA,PT3_mA,PT4_mA,PT5_mA,PT6_mA,PT7_mA,PT8_mA,PT9_mA,PT10_mA,PT11_mA,PT12_mA,PT13_mA,PT14_mA,PT15_mA,LC0_lbf,LC1_lbf,LC2_lbf,LC3_lbf,LC0_VperV,LC1_VperV,LC2_VperV,LC3_VperV
2025-10-15T21:13:20.898Z,6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-403.568,-137.264,149.259,3.023,-0.013855,-0.022973,0.024981,0.000051
2025-10-15T21:13:23.088Z,8692,10.41,1.16,0,9.32,12.22,15.85,11.7,0,14.24,0,13.04,18.13,0,0,0,0,4.02,4.01,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:23.663Z,9267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-522.465,-36.658,-135.379,3.021,-0.017937,-0.006135,-0.022658,0.000051
2025-10-15T21:13:25.774Z,11378,11.28,1.18,0,9.05,12.44,15.63,11.84,0,13.72,0,14.07,18.48,0,0,0,0,4.02,4.01,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:26.345Z,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-0.019359,-0.006923,-0.020808,0.000051
2025-10-15T21:13:28.489Z,14093,10.98,1.23,0,9.09,13.06,15.45,12.03,0,13.89,0,13.94,18.27,0,0,0,0,4.02,4.01,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:29.039Z,14643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.557,4.398,-5.491,0.015,-0.018379,-0.006187,-0.021727,0.000051
2025-10-15T21:13:31.190Z,16794,10.77,1.25,0,9.05,12.51,15.53,12.08,0,14.11,0,13.8,18.28,0,0,0,0,4.02,4.01,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:31.778Z,17382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.954,-0.421,-13.359,0.02,-0.020044,-0.006994,-0.023044,0.000051
2025-10-15T21:13:33.955Z,19559,10.82,1.23,0,9.04,12.87,15.66,11.92,0,13.83,0,13.89,18.24,0,0,0,0,4.02,4.01,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:34.555Z,20159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.099,4.783,-9.943,0.017,-0.019116,-0.006123,-0.022472,0.000051
2025-10-15T21:13:36.739Z,22343,10.93,1.25,0,9.32,12.56,15.49,12.11,0,13.93,0,13.5,18.36,0,0,0,0,4.02,4.01,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:37.348Z,22952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.586,-6.467,-11.121,0.002,-0.018481,-0.008006,-0.022669,0.000051
2025-10-15T21:13:39.536Z,25140,10.46,1.2,0,9.27,12.29,15.59,12.02,0,13.97,0,14.33,18.32,0,0,0,0,4.02,4.01,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:40.155Z,25759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.047,-0.101,-12.44,0.015,-0.019083,-0.00694,-0.02289,0.000051
2025-10-15T21:13:42.305Z,27909,10.56,1.18,0,9.24,12.45,15.81,11.78,0,13.86,0,14.06,18.28,0,0,0,0,4.02,4.01,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:42.903Z,28507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.002,-0.227,-3.715,0.004,-0.018226,-0.006961,-0.02143,0.000051
2025-10-15T21:13:45.081Z,30685,10.47,1.26,0,9.32,12.53,15.77,11.85,0,13.86,0,13.91,18.28,0,0,0,0,4.02,4.01,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:45.671Z,31275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.063,-4.708,-12.089,0.006,-0.019842,-0.007711,-0.022831,0.000051
2025-10-15T21:13:47.843Z,33447,10.48,1.26,0,9.03,12.66,15.53,11.69,0,13.73,0,13.76,18.17,0,0,0,0,4.02,4.01,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:48.471Z,34075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.095,1.361,-7.269,0.005,-0.018566,-0.006695,-0.022025,0.000051
2025-10-15T21:13:50.636Z,36240,10.59,1.2,0,9.09,12.44,15.65,11.93,0,13.82,0,13.51,18.3,0,0,0,0,4.02,4.01,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:51.228Z,36832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.999,3.677,-9.723,-0.004,-0.019703,-0.006308,-0.022435,0.000051
2025-10-15T21:13:53.431Z,39035,10.65,1.26,0,9.16,12.7,15.61,11.79,0,13.77,0,13.6,18.6,0,0,0,0,4.02,4.01,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:54.023Z,39627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.084,3.759,-5.283,0.009,-0.01788,-0.006294,-0.021692,0.000051
2025-10-15T21:13:56.204Z,41808,10.17,1.23,0,9.06,12.99,15.78,11.84,0,13.8,0,13.91,18.27,0,0,0,0,4.02,4.01,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:13:56.807Z,42411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.245,11.545,-9.824,0.011,-0.018767,-0.004991,-0.022452,0.000051
