timestamp,elapsed_ms,PT0_psi,PT1_psi,PT2_psi,PT3_psi,PT4_psi,PT5_psi,PT6_psi,PT7_psi,PT8_psi,PT9_psi,PT10_psi,PT11_psi,PT12_psi,PT13_psi,PT14_psi,PT15_psi,PT0_mA,PT1_mA,PT2_mA,PT3_mA,PT4_mA,PT5_mA,PT6_mA,PT7_mA,PT8_mA,PT9_mA,PT10_mA,PT11_mA,PT12_mA,PT13_mA,PT14_mA,PT15_mA,LC0_lbf,LC1_lbf,LC2_lbf,LC3_lbf,LC0_VperV,LC1_VperV,LC2_VperV,LC3_VperV
2025-10-15T21:39:48.120Z,369,11.15,261.66,0,9.54,12.46,15.57,11.89,0,14,0,14.08,18.17,0,0,0,0,4.02,6.79,0,4.02,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:39:48.742Z,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.536,3.499,-2.601,-0.024,-0.020202,-0.006337,-0.021243,0.00005
2025-10-15T21:39:54.416Z,6665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.163,95.137,273.584,-0.025,0.025002,0.009,0.024981,0.00005
2025-10-15T21:39:55.227Z,7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.525,-1.396,3.831,-0.028,-0.019377,-0.007157,-0.020167,0.00005
2025-10-15T21:39:56.010Z,8259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.513,2.464,7.697,-0.028,-0.018106,-0.006511,-0.01952,0.00005
2025-10-15T21:39:56.407Z,8656,11.21,263.28,0,9.23,13.14,16.24,12.17,0,13.92,0,13.86,18.23,0,0,0,0,4.02,6.81,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:39:56.877Z,9126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.442,4.918,8.246,-0.022,-0.019276,-0.0061,-0.019428,0.00005
2025-10-15T21:39:57.680Z,9929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.851,4.319,-5.493,-0.024,-0.017442,-0.0062,-0.021727,0.00005
2025-10-15T21:39:58.511Z,10760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.144,7.2,-1.362,-0.017,-0.019045,-0.005718,-0.021036,0.00005
2025-10-15T21:39:58.857Z,11106,11.15,263.77,0,9.48,13.27,15.61,12.1,0,13.71,0,13.92,18.21,0,0,0,0,4.02,6.81,0,4.02,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:39:59.399Z,11648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.755,-13.023,1.866,-0.035,-0.019488,-0.009103,-0.020496,0.00005
2025-10-15T21:40:00.185Z,12434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.489,-16.299,-5.97,-0.02,-0.017729,-0.009651,-0.021807,0.00005
2025-10-15T21:40:00.970Z,13219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.948,-15.926,-10.802,-0.021,-0.020079,-0.009589,-0.022616,0.00005
2025-10-15T21:40:01.337Z,13586,11.27,264.19,0,9.85,12.63,15.75,11.9,0,13.77,0,14.21,18.35,0,0,0,0,4.02,6.82,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:01.852Z,14101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.635,-7.54,-14.324,-0.031,-0.018376,-0.008185,-0.023205,0.00005
2025-10-15T21:40:02.657Z,14906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.009,-8.653,-10.764,-0.033,-0.018054,-0.008371,-0.022609,0.00005
2025-10-15T21:40:03.477Z,15726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.83,-8.81,-9.453,-0.019,-0.01861,-0.008398,-0.02239,0.00005
2025-10-15T21:40:03.764Z,16013,11.18,264.58,0,9.97,12.37,15.83,12.03,0,13.69,0,13.63,18.47,0,0,0,0,4.02,6.82,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:04.338Z,16587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.949,-7.045,-13.862,-0.034,-0.019907,-0.008102,-0.023128,0.00005
2025-10-15T21:40:05.100Z,17349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.496,-2.975,-8.735,-0.035,-0.016218,-0.007421,-0.02227,0.00005
2025-10-15T21:40:05.902Z,18151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.952,-13.809,-18.833,-0.032,-0.021864,-0.009234,-0.02396,0.00005
2025-10-15T21:40:06.197Z,18446,10.86,265.12,0,9.32,12.62,15.62,12.05,0,13.8,0,13.74,18.59,0,0,0,0,4.02,6.83,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:06.756Z,19005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.338,-12.672,-11.219,-0.03,-0.017803,-0.009044,-0.022686,0.00005
2025-10-15T21:40:07.539Z,19788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.645,-8.955,-9.632,-0.023,-0.016522,-0.008422,-0.02242,0.00005
2025-10-15T21:40:08.280Z,20529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.562,0.293,-7.22,-0.037,-0.017246,-0.006874,-0.022016,0.00005
2025-10-15T21:40:08.567Z,20816,11.09,265.37,0,10.18,12.83,15.73,11.99,0,13.93,0,13.6,18.62,0,0,0,0,4.02,6.83,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:09.137Z,21386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.672,0.01,-6.536,-0.026,-0.016624,-0.006922,-0.021902,0.00005
2025-10-15T21:40:09.974Z,22223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.776,2.417,-2.417,-0.038,-0.017136,-0.006519,-0.021212,0.00005
2025-10-15T21:40:10.821Z,23070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.753,-3.763,-1.03,-0.025,-0.018681,-0.007553,-0.02098,0.00005
2025-10-15T21:40:10.969Z,23218,10.75,265.68,0,9,12.79,15.67,12.08,0,13.85,0,13.76,18.62,0,0,0,0,4.02,6.83,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:11.553Z,23802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-549.306,-50.022,-131.397,2.977,-0.018858,-0.008372,-0.021992,0.00005
2025-10-15T21:40:12.376Z,24625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-506.437,-48.947,-127.757,2.975,-0.017387,-0.008192,-0.021382,0.00005
2025-10-15T21:40:13.122Z,25371,10.93,266.07,0,9.5,12.69,15.65,12.04,0,13.89,0,13.66,18.64,0,0,0,0,4.02,6.84,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:13.137Z,25386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-541.632,-51.264,-134.362,2.973,-0.018595,-0.00858,-0.022488,0.00005
2025-10-15T21:40:14.073Z,26322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.936,-4.037,-0.793,-0.027,-0.018606,-0.007599,-0.020941,0.00005
2025-10-15T21:40:14.929Z,27178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.165,-1.382,-8.339,-0.027,-0.018804,-0.007155,-0.022204,0.00005
2025-10-15T21:40:15.590Z,27839,10.23,266.38,0,9.45,12.78,15.61,11.9,0,13.79,0,13.51,18.53,0,0,0,0,4.02,6.84,0,4.02,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:15.769Z,28018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.238,-3.306,-7.635,-0.032,-0.019608,-0.007476,-0.022086,0.00005
2025-10-15T21:40:16.210Z,28459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-541.727,-47.804,-129.845,2.989,-0.018598,-0.008001,-0.021732,0.00005
2025-10-15T21:40:17.038Z,29287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-557.982,-46.711,-128.155,2.98,-0.019156,-0.007818,-0.021449,0.00005
2025-10-15T21:40:17.781Z,30030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-523.786,-48.72,-128.144,2.972,-0.017982,-0.008154,-0.021447,0.00005
2025-10-15T21:40:18.042Z,30291,10.36,266.66,0,9.38,12.94,15.5,12.05,0,14.13,0,13.82,18.27,0,0,0,0,4.02,6.84,0,4.02,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:18.651Z,30900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-563.456,-43.948,-129.361,2.98,-0.019344,-0.007356,-0.021651,0.00005
2025-10-15T21:40:19.375Z,31624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-564.732,-49.112,-128.846,2.983,-0.019388,-0.00822,-0.021565,0.00005
2025-10-15T21:40:20.199Z,32448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-538.977,-37.648,-123.489,2.964,-0.018504,-0.006301,-0.020668,0.00005
2025-10-15T21:40:20.549Z,32798,11.54,266.95,0,9.48,12.66,15.62,12.09,0,13.91,0,13.48,18.59,0,0,0,0,4.02,6.85,0,4.02,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:21.030Z,33279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-544.44,-47.253,-118.696,2.972,-0.018691,-0.007909,-0.019866,0.00005
2025-10-15T21:40:21.838Z,34087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-572.55,-43.05,-118.051,2.973,-0.019656,-0.007205,-0.019758,0.00005
2025-10-15T21:40:22.571Z,34820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-592.288,-43.502,-129.101,2.98,-0.020334,-0.007281,-0.021607,0.00005
2025-10-15T21:40:23.071Z,35320,11.09,267.15,0,9.23,13.11,15.47,11.97,0,13.94,0,13.11,18.47,0,0,0,0,4.02,6.85,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:23.410Z,35659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-608.528,-54.356,-131.22,2.988,-0.020892,-0.009097,-0.021962,0.00005
2025-10-15T21:40:24.208Z,36457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-564.23,-47.499,-124.543,2.98,-0.019371,-0.00795,-0.020844,0.00005
2025-10-15T21:40:24.972Z,37221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-566.147,-42.578,-126.283,2.988,-0.019437,-0.007126,-0.021136,0.00005
2025-10-15T21:40:25.511Z,37760,10.95,267.62,0,9.31,12.77,15.59,11.89,0,13.85,0,13.5,18.44,0,0,0,0,4.02,6.85,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:25.728Z,37977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-540.434,-41.959,-133.427,2.988,-0.018554,-0.007023,-0.022331,0.00005
2025-10-15T21:40:26.599Z,38848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-127.354,-42,-126.34,2.978,-0.004372,-0.007029,-0.021145,0.00005
2025-10-15T21:40:27.393Z,39642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-484.258,-39.766,-136.637,2.984,-0.016625,-0.006655,-0.022868,0.00005
2025-10-15T21:40:27.918Z,40167,11.05,267.79,0,9.51,12.69,15.7,12.17,0,13.79,0,13.67,18.56,0,0,0,0,4.02,6.86,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:28.167Z,40416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-467.759,-37.556,-133.678,2.983,-0.016059,-0.006286,-0.022373,0.00005
2025-10-15T21:40:28.936Z,41185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-512.968,-32.461,-128.24,2.975,-0.017611,-0.005433,-0.021463,0.00005
2025-10-15T21:40:29.770Z,42019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-501.875,-42.482,-126.867,2.969,-0.01723,-0.00711,-0.021233,0.00005
2025-10-15T21:40:30.351Z,42600,11.13,268.13,0,9.32,13.14,15.69,11.79,0,13.71,0,13.98,18.18,0,0,0,0,4.02,6.86,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:30.532Z,42781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-490.731,-39.589,-122.435,2.981,-0.016847,-0.006626,-0.020492,0.00005
2025-10-15T21:40:31.350Z,43599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-505.858,-45.44,-134.273,2.987,-0.017367,-0.007605,-0.022473,0.00005
2025-10-15T21:40:32.106Z,44355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-551.776,-47.414,-123.223,2.993,-0.018943,-0.007935,-0.020623,0.00005
2025-10-15T21:40:32.875Z,45124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-539.57,-46.006,-129.869,2.989,-0.018524,-0.0077,-0.021736,0.00005
2025-10-15T21:40:32.877Z,45126,11.1,268.34,0,9.09,12.77,15.64,11.81,0,13.91,0,14.03,18.32,0,0,0,0,4.02,6.86,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:33.734Z,45984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.013,-3.334,-1.875,-0.03,-0.017745,-0.007481,-0.021122,0.00005
2025-10-15T21:40:34.539Z,46788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.505,-3.028,-2.7,-0.025,-0.018621,-0.00743,-0.02126,0.00005
2025-10-15T21:40:35.333Z,47582,10.84,268.53,0,9.46,12.82,15.69,11.88,0,14.11,0,14.02,18.33,0,0,0,0,4.02,6.86,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:35.351Z,47600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.723,-7.17,-0.657,-0.039,-0.018923,-0.008123,-0.020918,0.00005
2025-10-15T21:40:35.979Z,48228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-519.948,-43.08,-126.8,2.986,-0.01785,-0.00721,-0.021222,0.00005
2025-10-15T21:40:36.711Z,48960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-538.465,-42.822,-129.327,2.973,-0.018486,-0.007167,-0.021645,0.00005
2025-10-15T21:40:37.464Z,49713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-576.823,-47.302,-127.25,2.984,-0.019803,-0.007917,-0.021297,0.00005
2025-10-15T21:40:37.676Z,49925,11.05,268.75,0,9.95,13.11,15.64,12.1,0,13.65,0,13.79,18.39,0,0,0,0,4.02,6.87,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:38.238Z,50487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-528.436,-33.311,-127.153,2.98,-0.018142,-0.005575,-0.021281,0.00005
2025-10-15T21:40:38.989Z,51238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-538.524,-41.75,-125.692,2.976,-0.018488,-0.006988,-0.021037,0.00005
2025-10-15T21:40:39.699Z,51948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-487.752,-48.383,-120.86,2.985,-0.016745,-0.008098,-0.020228,0.00005
2025-10-15T21:40:40.177Z,52426,11.02,269.09,0,9.44,12.65,15.75,12.02,0,13.99,0,13.87,18.24,0,0,0,0,4.02,6.87,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:40.475Z,52724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-537.669,-43.63,-127.769,2.981,-0.018459,-0.007302,-0.021384,0.00005
2025-10-15T21:40:41.259Z,53508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-516.025,-39.93,-119.816,2.987,-0.017716,-0.006683,-0.020053,0.00005
2025-10-15T21:40:42.016Z,54265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-531.856,-36.3,-128.62,2.981,-0.018259,-0.006075,-0.021527,0.00005
2025-10-15T21:40:42.538Z,54787,10.97,269.18,0,9.29,12.51,15.76,12.01,0,13.95,0,13.58,18.51,0,0,0,0,4.02,6.87,0,4.01,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:42.738Z,54987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-574.503,-36.575,-127.517,2.96,-0.019723,-0.006122,-0.021342,0.00005
2025-10-15T21:40:43.206Z,55455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.414,-4.019,-1.975,-0.031,-0.02006,-0.007596,-0.021139,0.00005
2025-10-15T21:40:43.974Z,56223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.384,-2.161,-3.495,-0.032,-0.01914,-0.007285,-0.021393,0.00005
2025-10-15T21:40:44.764Z,57013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.936,-4.76,-4.589,-0.029,-0.019769,-0.00772,-0.021576,0.00005
2025-10-15T21:40:44.938Z,57187,11.01,269.51,0,9.35,12.87,15.58,11.93,0,14.03,0,14.02,18.42,0,0,0,0,4.02,6.87,0,4.01,4.02,4.02,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
2025-10-15T21:40:45.475Z,57724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-543.571,-40.686,-127.806,2.981,-0.018661,-0.00681,-0.02139,0.00005
2025-10-15T21:40:46.271Z,58520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-557.954,-39.739,-127.279,2.981,-0.019155,-0.006651,-0.021302,0.00005
2025-10-15T21:40:47.022Z,59271,11.13,269.7,0,10.28,12.4,15.91,12.04,0,14.04,0,13.48,18.4,0,0,0,0,4.02,6.88,0,4.02,4.02,4.03,4.02,0,4.02,0,4.02,4.03,0,0,0,0,,,,,,,,
