timestamp,elapsed_ms,PT0_psi,PT1_psi,PT2_psi,PT3_psi,PT4_psi,PT5_psi,PT6_psi,PT7_psi,PT8_psi,PT9_psi,PT10_psi,PT11_psi,PT12_psi,PT13_psi,PT14_psi,PT15_psi
2025-10-15T19:59:00.647Z,7158,,,,,,,,,,,,,,,,
2025-10-15T19:59:03.886Z,10397,,,,,,,,,,,,,,,,
2025-10-15T19:59:07.040Z,13551,,,,,,,,,,,,,,,,
2025-10-15T19:59:10.192Z,16703,,,,,,,,,,,,,,,,
2025-10-15T19:59:13.347Z,19858,,,,,,,,,,,,,,,,
2025-10-15T19:59:16.512Z,23023,,,,,,,,,,,,,,,,
2025-10-15T19:59:19.643Z,26154,12.93,1.75,,11.85,15.52,19.18,13.13,,15.85,,15.44,19.73,,,,
2025-10-15T19:59:22.751Z,29262,12.9,1.57,,10.79,14.26,18.61,12.22,,15.84,,14.78,19.65,,,,
2025-10-15T19:59:25.885Z,32396,11.95,1.44,,10.54,13.47,18.49,11.86,,14.61,,14.72,19.1,,,,
2025-10-15T19:59:29.029Z,35540,11.75,1.29,,10.46,13.42,17.77,11.97,,14.25,,13.84,18.75,,,,
2025-10-15T19:59:32.169Z,38680,11.76,1.3,,10.26,13.51,17.05,11.97,,13.94,,13.8,18.25,,,,
2025-10-15T19:59:35.334Z,41845,11.75,1.28,,9.71,13.47,16.79,12,,13.73,,13.73,18.27,,,,
2025-10-15T19:59:38.439Z,44950,11.51,1.28,,9.26,13.23,16.6,11.27,,13.7,,13.29,18.29,,,,
2025-10-15T19:59:41.619Z,48130,11.45,1.28,,9.17,12.82,16.76,11.42,,13.66,,13.53,18.21,,,,
2025-10-15T19:59:44.783Z,51294,10.36,1.24,,9.41,12.92,16.26,11,,13.73,,12.83,18.46,,,,
2025-10-15T19:59:47.941Z,54452,11.18,1.27,,9.34,12.42,15.98,11.04,,13.76,,12.91,18.44,,,,
2025-10-15T19:59:51.120Z,57631,10.3,1.24,,9.12,12.85,16.04,11.13,,13.48,,12.71,18.27,,,,
2025-10-15T19:59:54.235Z,60746,10.82,1.21,,8.99,12.99,16.27,10.57,,13.52,,12.72,18.33,,,,
2025-10-15T19:59:57.402Z,63913,10.91,1.26,,9.1,12.33,15.72,10.99,,13.66,,12.64,18.34,,,,
2025-10-15T20:00:00.575Z,67086,10.19,1.29,,9.02,12.69,15.73,10.81,,13.55,,13.04,18.15,,,,
2025-10-15T20:00:03.690Z,70201,10.47,1.28,,8.98,12.7,15.62,10.98,,13.62,,12.71,17.89,,,,
2025-10-15T20:00:06.816Z,73327,10.99,1.21,,9.21,12.21,16.11,10.88,,13.85,,12.44,18.18,,,,
2025-10-15T20:00:10.018Z,76529,10.55,1.29,,9.18,12.56,15.63,11.02,,13.66,,12.37,17.73,,,,
2025-10-15T20:00:13.215Z,79726,10.81,1.25,,9.15,12.43,15.53,10.75,,13.6,,12.44,17.78,,,,
2025-10-15T20:00:16.325Z,82836,9.91,1.26,,9.23,12.42,15.59,10.71,,13.59,,12.52,17.93,,,,
2025-10-15T20:00:19.509Z,86020,10.76,1.22,,9.36,12.68,15.73,11.04,,13.88,,12.66,17.99,,,,
2025-10-15T20:00:22.676Z,89187,10.45,1.26,,9.14,12.75,15.66,10.81,,13.6,,12.41,17.54,,,,
2025-10-15T20:00:25.846Z,92357,10.73,1.25,,9.15,12.36,15.63,11.14,,13.7,,12.57,17.9,,,,
2025-10-15T20:00:29.023Z,95534,10.36,1.24,,9.04,12.36,15.85,10.68,,13.4,,12.64,18.12,,,,
2025-10-15T20:00:32.213Z,98724,10.43,1.26,,9.18,12.52,15.63,10.86,,13.63,,12.57,17.79,,,,
2025-10-15T20:00:35.382Z,101893,10.46,1.19,,9.31,12.09,15.74,11.08,,13.57,,12.48,17.98,,,,
2025-10-15T20:00:38.586Z,105097,10.56,1.19,,9.21,12.28,15.58,11.12,,13.65,,12.47,18,,,,
2025-10-15T20:00:41.703Z,108214,10.27,1.25,,9.23,12.21,15.65,10.99,,13.55,,12.76,17.97,,,,
2025-10-15T20:00:44.822Z,111333,10.48,1.29,,9.13,12.37,15.65,10.68,,13.73,,12.57,17.68,,,,
2025-10-15T20:00:47.997Z,114508,9.83,1.23,,9.29,11.75,15.66,11,,13.57,,12.59,18.43,,,,
2025-10-15T20:00:51.172Z,117683,10.65,1.24,,9.16,12.29,15.84,11.22,,13.71,,12.37,17.51,,,,
2025-10-15T20:00:54.364Z,120875,10.68,1.22,,9.25,12.22,15.88,11.12,,13.73,,12.38,17.79,,,,
2025-10-15T20:00:57.544Z,124056,10.67,1.22,,9.11,12.4,15.82,10.83,,13.83,,12.39,18.18,,,,
2025-10-15T20:01:00.744Z,127255,10.51,1.14,,9.26,12.23,15.88,11.18,,13.81,,12.5,18.09,,,,
2025-10-15T20:01:03.939Z,130450,10.55,1.28,,9.01,12.29,15.86,11.23,,13.87,,12.27,17.8,,,,
2025-10-15T20:01:07.108Z,133619,10.68,1.21,,9.11,12.29,15.86,10.67,,13.79,,12.39,17.84,,,,
2025-10-15T20:01:10.277Z,136788,10.36,1.19,,9.12,12.12,15.95,10.55,,13.87,,12.36,18.29,,,,
2025-10-15T20:01:13.387Z,139898,10.59,1.27,,9.09,12.68,15.92,10.85,,13.72,,12.56,17.8,,,,
2025-10-15T20:01:16.554Z,143065,10.37,1.21,,9.21,12.17,15.75,10.98,,13.67,,12.48,18.17,,,,
2025-10-15T20:01:19.716Z,146227,10.52,1.21,,9.27,12.28,15.87,10.89,,13.79,,12.4,17.94,,,,
2025-10-15T20:01:22.930Z,149441,10.29,1.2,,9.2,12.31,15.74,11.12,,13.9,,12.41,17.77,,,,
2025-10-15T20:01:26.126Z,152637,10.43,1.18,,8.98,12.5,15.78,11.45,,13.85,,12.53,17.84,,,,
2025-10-15T20:01:29.304Z,155815,10.57,1.27,,9.21,12.33,15.73,11.02,,13.6,,13.12,18.11,,,,
2025-10-15T20:01:32.490Z,159001,10.69,1.22,,9.02,12.2,15.7,10.56,,13.81,,12.59,17.59,,,,
2025-10-15T20:01:35.678Z,162189,10.76,1.22,,9.19,12.23,15.77,11.43,,13.69,,12.63,18.21,,,,
2025-10-15T20:01:38.849Z,165360,10.53,1.17,,9.2,12.3,15.89,10.98,,13.65,,12.38,18.07,,,,
2025-10-15T20:01:42.019Z,168530,10.37,1.17,,9.12,12.63,15.86,11.02,,13.65,,12.41,17.92,,,,
2025-10-15T20:01:45.189Z,171700,10.32,1.2,,8.98,12.2,15.78,11.01,,13.72,,12.33,17.96,,,,
2025-10-15T20:01:48.386Z,174897,10.57,1.27,,8.94,11.94,15.74,11.09,,13.72,,12.64,18.17,,,,
2025-10-15T20:01:51.553Z,178064,10.54,1.23,,9.16,12.32,15.88,11.14,,13.53,,12.47,17.97,,,,
2025-10-15T20:01:54.724Z,181235,10.8,1.17,,9.05,12.26,15.76,11.06,,13.65,,12.31,18.11,,,,
2025-10-15T20:01:57.894Z,184405,10.16,1.25,,9.08,12.13,15.84,10.97,,13.69,,12.54,18.18,,,,
2025-10-15T20:02:01.081Z,187592,10.43,1.19,,9.12,12.02,15.73,10.87,,13.69,,12.53,18.1,,,,
2025-10-15T20:02:04.193Z,190704,10.68,1.24,,9.07,12.29,15.81,11.02,,13.61,,12.54,18.27,,,,
2025-10-15T20:02:07.381Z,193892,10.36,1.23,,9.07,12.03,15.83,11.35,,13.72,,12.51,17.79,,,,
