timestamp,elapsed_ms,PT0_psi,PT1_psi,PT2_psi,PT3_psi,PT4_psi,PT5_psi,PT6_psi,PT7_psi,PT8_psi,PT9_psi,PT10_psi,PT11_psi,PT12_psi,PT13_psi,PT14_psi,PT15_psi,PT0_mA,PT1_mA,PT2_mA,PT3_mA,PT4_mA,PT5_mA,PT6_mA,PT7_mA,PT8_mA,PT9_mA,PT10_mA,PT11_mA,PT12_mA,PT13_mA,PT14_mA,PT15_mA,LC0_lbf,LC1_lbf,LC2_lbf,LC3_lbf,LC0_VperV,LC1_VperV,LC2_VperV,LC3_VperV
2025-10-16T15:52:55.889350Z,17,108.67,0.6,109.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,86.432,4.462,-2.42,19.886,-0.007318,-0.00563,-0.020785,0.00266
2025-10-16T15:52:56.003263Z,131,108.67,0.6,109.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,81.712,-1.296,-2.465,19.884,-0.00748,-0.006594,-0.020792,0.00266
2025-10-16T15:52:56.125669Z,254,108.67,0.6,109.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,71.666,0.343,-7.254,19.888,-0.007825,-0.006319,-0.021594,0.00266
2025-10-16T15:52:56.202464Z,331,108.67,0.6,109.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,83.479,2.574,-7.945,19.887,-0.00742,-0.005946,-0.021709,0.00266
2025-10-16T15:52:56.296441Z,425,108.67,0.6,109.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,93.614,4.943,-2.969,19.887,-0.007072,-0.005549,-0.020877,0.00266
2025-10-16T15:52:56.408709Z,537,108.66,0.59,109.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,55.798,8.03,-2.001,19.889,-0.00837,-0.005033,-0.020714,0.00266
2025-10-16T15:52:56.498221Z,626,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,73.266,9.647,-0.873,19.885,-0.00777,-0.004762,-0.020526,0.00266
2025-10-16T15:52:56.589446Z,718,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,103.499,8.982,2.524,19.887,-0.006732,-0.004873,-0.019957,0.00266
2025-10-16T15:52:56.696556Z,825,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.697,2.788,3.478,19.884,-0.006966,-0.00591,-0.019797,0.00266
2025-10-16T15:52:56.798043Z,926,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65.788,-3.046,3.43,19.887,-0.008027,-0.006886,-0.019805,0.00266
2025-10-16T15:52:56.907975Z,1036,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65.979,-0.285,4.14,19.887,-0.008021,-0.006424,-0.019687,0.00266
2025-10-16T15:52:56.987279Z,1115,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,72.484,3.801,4.555,19.883,-0.007797,-0.00574,-0.019617,0.00266
2025-10-16T15:52:57.099659Z,1228,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,88.997,2.759,2.61,19.885,-0.00723,-0.005915,-0.019943,0.00266
2025-10-16T15:52:57.188953Z,1317,108.65,0.58,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,38.909,1.611,0.135,19.878,-0.00895,-0.006107,-0.020357,0.002659
2025-10-16T15:52:57.290958Z,1419,108.66,0.58,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,75.073,4.646,-4.586,19.878,-0.007708,-0.005599,-0.021147,0.002659
2025-10-16T15:52:57.403754Z,1532,108.67,0.58,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59.609,2.326,-6.266,19.883,-0.008239,-0.005987,-0.021428,0.00266
2025-10-16T15:52:57.504940Z,1633,108.67,0.58,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,71.842,-0.477,-6.079,19.877,-0.007819,-0.006456,-0.021397,0.002659
2025-10-16T15:52:57.592847Z,1721,108.67,0.58,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,80.854,-0.528,-5.599,19.887,-0.00751,-0.006465,-0.021317,0.00266
2025-10-16T15:52:57.702188Z,1830,108.67,0.58,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60.235,7.499,-1.627,19.881,-0.008218,-0.005122,-0.020652,0.00266
2025-10-16T15:52:57.800497Z,1929,108.67,0.58,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58.846,7.504,1.204,19.885,-0.008265,-0.005121,-0.020178,0.00266
2025-10-16T15:52:57.913361Z,2041,108.67,0.58,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.97,5.17,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,95.699,6.41,3.575,19.881,-0.007,-0.005304,-0.019781,0.00266
